,lambda_sparsity,lambda_TV,entropy,TSV,cross_val_score
281,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,2.6826957952797274e-06,16.43728682520506
282,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,7.196856730011514e-06,15.000579584742916
283,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,1.9306977288832496e-05,13.519813384218576
284,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,5.1794746792312125e-05,12.057142036470335
285,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,0.00013894954943731373,11.47165090376088
286,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,0.0003727593720314938,12.26769694210745
287,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,0.001,15.451076263913095
288,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,1e-06,11.730560845966227
289,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,2.6826957952797274e-06,11.41744897425377
290,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,7.196856730011514e-06,10.907819821072403
291,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,1.9306977288832496e-05,10.337942919731178
292,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,5.1794746792312125e-05,9.88239162921349
293,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,0.00013894954943731373,9.714585856023186
294,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,0.0003727593720314938,10.161628031892556
295,2.6826957952797274e-06,1e-08,5.1794746792312125e-05,0.001,11.82265786932135
296,2.6826957952797274e-06,1e-08,0.00013894954943731373,1e-06,9.933732622296816
297,2.6826957952797274e-06,1e-08,0.00013894954943731373,2.6826957952797274e-06,9.793092825676375
298,2.6826957952797274e-06,1e-08,0.00013894954943731373,7.196856730011514e-06,9.572295593225402
299,2.6826957952797274e-06,1e-08,0.00013894954943731373,1.9306977288832496e-05,9.352327942845072
300,2.6826957952797274e-06,1e-08,0.00013894954943731373,5.1794746792312125e-05,9.183348176856935
301,2.6826957952797274e-06,1e-08,0.00013894954943731373,0.00013894954943731373,9.119631797879636
302,2.6826957952797274e-06,1e-08,0.00013894954943731373,0.0003727593720314938,9.347029206053529
303,2.6826957952797274e-06,1e-08,0.00013894954943731373,0.001,10.278066926804824
304,2.6826957952797274e-06,1e-08,0.0003727593720314938,1e-06,10.274856037227865
305,2.6826957952797274e-06,1e-08,0.0003727593720314938,2.6826957952797274e-06,10.203110611209924
306,2.6826957952797274e-06,1e-08,0.0003727593720314938,7.196856730011514e-06,10.082243144457259
307,2.6826957952797274e-06,1e-08,0.0003727593720314938,1.9306977288832496e-05,9.944534727232002
308,2.6826957952797274e-06,1e-08,0.0003727593720314938,5.1794746792312125e-05,9.830913964243843
309,2.6826957952797274e-06,1e-08,0.0003727593720314938,0.00013894954943731373,9.788723159602846
310,2.6826957952797274e-06,1e-08,0.0003727593720314938,0.0003727593720314938,9.97903345681559
311,2.6826957952797274e-06,1e-08,0.0003727593720314938,0.001,10.700235122431655
312,2.6826957952797274e-06,1e-08,0.001,1e-06,17.82285351898629
313,2.6826957952797274e-06,1e-08,0.001,2.6826957952797274e-06,17.789291362962878
314,2.6826957952797274e-06,1e-08,0.001,7.196856730011514e-06,17.717679666116645
315,2.6826957952797274e-06,1e-08,0.001,1.9306977288832496e-05,17.591637329392825
316,2.6826957952797274e-06,1e-08,0.001,5.1794746792312125e-05,17.426870119324466
317,2.6826957952797274e-06,1e-08,0.001,0.00013894954943731373,17.31830264771708
318,2.6826957952797274e-06,1e-08,0.001,0.0003727593720314938,17.482075329625964
319,2.6826957952797274e-06,1e-08,0.001,0.001,18.254914197656056
320,2.6826957952797274e-06,2.1544346900318822e-07,1e-06,1e-06,66.87190175404197
321,2.6826957952797274e-06,2.1544346900318822e-07,1e-06,2.6826957952797274e-06,56.41178084116659
